,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
935,B3 Consulting,1313,B3,SE0008347660,Aktie,Small Cap,Sverige,Informationsteknik,IT-Konsulter
936,Clean Motion,1315,CLEMO,SE0008216303,Aktie,First North,Sverige,Sällanköpsvaror,Bil & Motor
937,Front Ventures,1316,FRNT B,SE0005337920,Aktie,NGM,Sverige,Finans & Fastighet,Investmentbolag
938,SynAct Pharma,1317,SYNACT,SE0008241491,Aktie,Small Cap,Sverige,Hälsovård,Biotech
939,BrandBee,1320,BRANDB,SE0017885155,Aktie,NGM,Sverige,Informationsteknik,Internettjänster
940,TF Bank,1321,TFBANK,SE0007331608,Aktie,Mid Cap,Sverige,Finans & Fastighet,Kredit & Finansiering
941,Nordic Waterproofing,1322,NWG,SE0014731089,Aktie,Mid Cap,Sverige,Industri,Byggmaterial
942,AcadeMedia,1323,ACAD,SE0007897079,Aktie,Mid Cap,Sverige,Industri,Utbildning
943,Orsted,1324,ORSTED,DK0060094928,Aktie,Large Cap,Danmark,Kraftförsörjning,Vindkraft
944,Bonava B,1325,BONAV B,SE0008091581,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
945,Acuvi,1326,ACUVI,SE0017833171,Aktie,First North,Sverige,Industri,Elektroniska komponenter
946,Cyxone,1327,CYXO,SE0007815428,Aktie,First North,Sverige,Hälsovård,Biotech
947,Oscar Properties Pref B,1328,OP PREFB,SE0016278329,Pref,Small Cap,Sverige,Finans & Fastighet,Fastighetsbolag
948,Enorama Pharma,1330,ERMA,SE0008216329,Aktie,First North,Sverige,Hälsovård,Läkemedel
949,Mediacle,1331,MEGR,SE0007705074,Aktie,NGM,Sverige,Sällanköpsvaror,Hemelektronik
950,GomSpace,1333,GOMX,SE0008348304,Aktie,First North,Sverige,Informationsteknik,Rymd- & Satellitteknik
951,Redwood Pharma,1334,REDW,SE0008294789,Aktie,First North,Sverige,Hälsovård,Läkemedel
952,Shortcut Media,1335,SMG,SE0008347462,Aktie,Spotlight,Sverige,Sällanköpsvaror,Marknadsföring
953,Absolicon,1336,ABSL B,SE0018396947,Aktie,Spotlight,Sverige,Kraftförsörjning,Solkraft
954,Cereno Scientific,1337,CRNO B,SE0008241558,Aktie,First North,Sverige,Hälsovård,Läkemedel
955,NYAB,1338,NYAB,FI4000153515,Aktie,First North,Finland,Finans & Fastighet,Kredit & Finansiering
956,Pareto Bank,1339,PARB,NO0010397581,Aktie,Oslo Bors,Norge,Finans & Fastighet,Nischbanker
957,Treasure,1340,TRE,NO0010763550,Aktie,Oslo Bors,Norge,Finans & Fastighet,Kapitalförvaltning
958,B2 Impact,1343,B2I,NO0010633951,Aktie,Oslo Bors,Norge,Finans & Fastighet,Kredit & Finansiering
959,Aega,1344,AEGA,NO0012958539,Aktie,Oslo Expand,Norge,Kraftförsörjning,Solkraft
960,Scandinavian Tobacco,1345,STG,DK0060696300,Aktie,Large Cap,Danmark,Dagligvaror,Tobak
961,Quartiers Properties Pref,1349,QUART PREF,SE0009697212,Pref,First North,Sverige,Finans & Fastighet,Fastighetsbolag
962,Gold Town Games,1350,GTG,SE0008587117,Aktie,NGM,Sverige,Sällanköpsvaror,Gaming & Spel
963,Circio,1351,CRNA,NO0013033795,Aktie,Oslo Bors,Norge,Hälsovård,Biotech
964,Maha Energy,1354,MAHA A,SE0008374383,Aktie,Small Cap,Sverige,Energi,Olja & Gas - Exploatering
965,ExpreS2ion Biotech,1355,EXPRS2,SE0008348262,Aktie,First North,Sverige,Hälsovård,Biotech
966,Flowscape,1357,FLOWS,SE0018042046,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
967,Alcadon Group,1358,ALCA,SE0008732218,Aktie,First North,Sverige,Industri,Elektroniska komponenter
968,Eyeonid,1360,EOID,SE0019763988,Aktie,NGM,Sverige,Informationsteknik,Biometri
969,Filo,1361,FIL,CA31729R1055,Aktie,First North,Sverige,Material,Gruv - Prospekt & Drift
970,Sustainable Energy,1362,SENS,SE0011643980,Aktie,NGM,Sverige,Industri,Installation & VVS
971,Jumpgate,1363,GATE,SE0008435044,Aktie,NGM,Sverige,Sällanköpsvaror,Gaming & Spel
972,WilLak,1365,WIL,SE0008964266,Aktie,NGM,Sverige,Industri,Byggmaterial
973,Cyber Security 1,1366,CYB1,SE0007604061,Aktie,First North,Sverige,Informationsteknik,Säkerhet & Bevakning
974,Solnaberg,1368,SOLNA,SE0009155211,Aktie,First North,Sverige,Finans & Fastighet,Fastighetsbolag
975,Nosa Plugs,1369,NOSA,SE0006994539,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
976,Vincit,1371,VINCIT,FI4000185533,Aktie,First North,Finland,Informationsteknik,Affärs- & IT-System
977,Gasporox,1372,GPX,SE0008991624,Aktie,First North,Sverige,Industri,Mätning & Analys
978,Embracer,1374,EMBRAC B,SE0016828511,Aktie,Large Cap,Sverige,Sällanköpsvaror,Gaming & Spel
979,BICO Group,1376,BICO,SE0013647385,Aktie,Mid Cap,Sverige,Hälsovård,Medicinsk Utrustning
980,Volati,1378,VOLO,SE0009143662,Aktie,Mid Cap,Sverige,Finans & Fastighet,Investmentbolag
981,Byggpartner,1379,BYGGP,SE0009242324,Aktie,First North,Sverige,Industri,Byggnation & Infrastruktur
982,Crunchfish,1382,CFISH,SE0009190192,Aktie,First North,Sverige,Informationsteknik,Biometri
983,Gapwaves,1383,GAPW B,SE0009155518,Aktie,First North,Sverige,Informationsteknik,Kommunikation
984,InDex Pharmaceuticals,1384,INDEX,SE0008966295,Aktie,First North,Sverige,Hälsovård,Läkemedel
985,Alligator Bioscience,1385,ATORX,SE0000767188,Aktie,Small Cap,Sverige,Hälsovård,Biotech
986,Swedish Stirling,1386,STRLNG,SE0009143993,Aktie,First North,Sverige,Kraftförsörjning,Förnybarenergi
987,ChemoTech,1389,CMOTEC B,SE0009242654,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
988,Smart Eye,1390,SEYE,SE0009268279,Aktie,First North,Sverige,Informationsteknik,Biometri
989,Heeros,1391,HEEROS,FI4000127527,Aktie,First North,Finland,Informationsteknik,IT-Konsulter
990,Finepart,1392,FINE,SE0009189442,Aktie,Spotlight,Sverige,Industri,Industrimaskiner
991,Transiro,1393,TIRO,SE0009242027,Aktie,NGM,Sverige,Informationsteknik,Affärs- & IT-System
992,Bluelake Mineral,1394,BLUE,SE0015382148,Aktie,NGM,Sverige,Material,Gruv - Prospekt & Drift
993,Aino Health,1395,AINO,SE0009242555,Aktie,First North,Sverige,Industri,Stödtjänster & Service
994,AppSpotr,1396,APTR,SE0018041097,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
995,Acarix,1397,ACARIX,SE0009268717,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
996,AAC Clyde Space,1398,AAC,SE0021020716,Aktie,First North,Sverige,Informationsteknik,Rymd- & Satellitteknik
997,SeaTwirl,1399,STW,SE0009242175,Aktie,First North,Sverige,Kraftförsörjning,Vindkraft
998,Svenska Aerogel,1400,AERO,SE0008212161,Aktie,First North,Sverige,Material,Kemikalier
999,Vo2 Cap,1401,VO2,SE0016802797,Aktie,First North,Sverige,Finans & Fastighet,Investmentbolag
1000,AcouSort,1402,ACOU,SE0009189608,Aktie,First North,Sverige,Hälsovård,Biotech
1001,Effnetplattformen,1404,EFFH,SE0015987565,Aktie,First North,Sverige,Telekommunikation,Telekomtjänster
1002,Oncopeptides,1406,ONCO,SE0009414576,Aktie,Small Cap,Sverige,Hälsovård,Biotech
1003,Bio Vitos Pharma,1408,BIOVIT,SE0009320278,Aktie,First North,Sverige,Hälsovård,Medicinsk Utrustning
1004,Hoylu,1409,HOYLU,SE0020677854,Aktie,First North,Sverige,Informationsteknik,Affärs- & IT-System
